Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
21.82,2,0.1837943444231269450137520050,0.188734603236536,0.188734603236536,0.184018474300457,0.184018474300457,0.13184020831155,0.1383466374821511231596987425,0.1003953934821146231596987425,0.0379512440000365,4.6290470852935985849730424327,27.860493275278939964361211005,29.665432617792462603404278053,981271900
21.83,2,0.1837905757716970250137520050,0.188730233522265,0.188730233522265,0.184014701053307,0.184014701053307,0.131823193590269,0.1383294806249494587905607300,0.1003782366249129587905607300,0.0379512440000365,4.6283823987791855538433949034,27.857560742366443534812237491,29.662711366832828824365547963,981721700
21.84,2,0.1837868104662218350137520050,0.188725867560992,0.188725867560992,0.184010931156192,0.184010931156192,0.131806190349851,0.1383123353725951959334629499,0.1003610913725586959334629499,0.0379512440000365,4.6277179554608416910361431592,27.854632759065242598597964301,29.659993515498765845020237811,982171400
21.85,2,0.1837830387188313050137520050,0.188721495903326,0.188721495903326,0.184007154809305,0.184007154809305,0.131789208795983,0.1382952115947787167723441080,0.1003439675947422167723441080,0.0379512440000365,4.6270540365702264763624653736,27.851708744581578418520036255,29.657278452452673260142068121,982621100
21.86,2,0.1837792804225616150137520050,0.188717138373431,0.188717138373431,0.184003391929943,0.184003391929943,0.131772245914007,0.1382781069705316510342004265,0.1003268629704951510342004265,0.0379512440000365,4.6263905741023227417195853228,27.848789048639112390765881398,29.654566499274588133891606289,983070800
21.87,2,0.1837755264708407050137520050,0.18871278550818,0.18871278550818,0.183999633400428,0.183999633400428,0.131755291970717,0.1382610114423195189163049627,0.1003097674422830189163049627,0.0379512440000365,4.625727278415820319004726782,27.845865391276532260041653002,29.651850674754287993807728539,983520600
21.88,2,0.1837717860752153350137520050,0.18870844663929,0.18870844663929,0.183995888443539,0.183995888443539,0.131738349924712,0.1382439282926109350058410172,0.1002926842925744350058410172,0.0379512440000365,4.6250642420323756880290679295,27.842941875957308259713961617,29.64913445179305090836476685,983970200
21.89,2,0.1837680390232038850137520050,0.188704101373404,0.188704101373404,0.183992136822147,0.183992136822147,0.131721415655418,0.1382268526916242931931419200,0.1002756086915877931931419200,0.0379512440000365,4.6244013250747810046468097377,27.840023790027565557489866853,29.64642240807385845163840461,984419900
21.90,2,0.1837642965259678250137520050,0.188699761819524,0.188699761819524,0.183988389761085,0.183988389761085,0.131704514286206,0.1382098101700228365884619933,0.1002585661699863365884619933,0.0379512440000365,4.6237392574284911007551759849,27.837111672761121691150235166,29.643714715963778786229836713,984869600
21.91,2,0.1837605564770336950137520050,0.188695424924884,0.188695424924884,0.18398464515131,0.18398464515131,0.131687618829198,0.1381927736498307843446690638,0.1002415296497942843446690638,0.0379512440000365,4.6230772618524984561653448446,27.834191552566355583185036613,29.640999710338493194923065145,985319400
21.92,2,0.1837568207703183850137520050,0.188691092861114,0.188691092861114,0.183980904889049,0.183980904889049,0.131670737137797,0.1381757510554548878583555834,0.1002245070554183878583555834,0.0379512440000365,4.6224155638501342548605856942,27.83128085772274623448932142,29.638292222967152642924411059,985769100
21.93,2,0.1837530886164046450137520050,0.188686764669758,0.188686764669758,0.183977168183923,0.183977168183923,0.131653864412748,0.1381587375571138900857052810,0.1002074935570773900857052810,0.0379512440000365,4.621754023544229300609053909,27.828368812501116332952226118,29.635583076368570307662073971,986218800
21.94,2,0.1837493709091140050137520050,0.18868245157528,0.18868245157528,0.183973445943036,0.183973445943036,0.13163700955162,0.1381417424386858448813734937,0.1001904984386493448813734937,0.0379512440000365,4.621092905384127425307973265,27.825463960529048283603593924,29.632879479184722273118797226,986668500
21.95,2,0.1837456555426520050137520050,0.188678141282062,0.188678141282062,0.183969726045833,0.183969726045833,0.131620167752847,0.1381247604724174247666944311,0.1001735164723809247666944311,0.0379512440000365,4.6204320580915707848115447379,27.82255688846163610788706492,29.630173424649638583207721879,987118300
21.96,2,0.1837419347270290450137520050,0.188673826495258,0.188673826495258,0.183966000692823,0.183966000692823,0.131603353603689,0.1381078059820965766813167426,0.1001565619820600766813167426,0.0379512440000365,4.619771890498700534973969302,27.819650488491902987406857968,29.62746722501502863748716459,987567900
21.97,2,0.1837382273563559250137520050,0.1886695252156,0.1886695252156,0.18396228880116,0.18396228880116,0.131586540531107,0.1380908530390885804920822643,0.1001396090390520804920822643,0.0379512440000365,4.619111658290676507692470735,27.816749738921966924525477484,29.62476543056534092951828749,988017600
21.98,2,0.1837345233251308050137520050,0.188665227945875,0.188665227945875,0.183958580253016,0.183958580253016,0.131569746483738,0.1380739192496496835665575871,0.1001226752496131835665575871,0.0379512440000365,4.618451864335429858821250013,27.81384500970570873987743611,29.622059592433569265110832379,988467300
21.99,2,0.1837308128427881650137520050,0.188660924626103,0.188660924626103,0.183954865245888,0.183954865245888,0.131552964259563,0.1380569970650579089003928231,0.1001057530650214089003928231,0.0379512440000365,4.6177922908638487442145081086,27.810947465269965746603822698,29.61935935312236455058900163,988917100
22.00,2,0.1837271258037327450137520050,0.188656645425803,0.188656645425803,0.183951173710635,0.183951173710635,0.131536200170404,0.1380400938461923576096260202,0.1000888498461558576096260202,0.0379512440000365,4.6171331472354293197264460011,27.808051081181774061753743339,29.616659466481769760935242469,989366800
22.01,2,0.1837234231027507250137520050,0.188652350614586,0.188652350614586,0.183947466494357,0.183947466494357,0.131519438362604,0.1380231923624825341033142676,0.1000719483624460341033142676,0.0379512440000365,4.616473938316502093297310264,27.805156757227380598893112178,29.613960892574549224365770129,989816500
22.02,2,0.1837197439487059850137520050,0.188648080377556,0.188648080377556,0.183943782853731,0.183943782853731,0.131502704737605,0.1380063199020331694290321392,0.1000550759019966694290321392,0.0379512440000365,4.6158154443395691926522334734,27.802263586226868078617759606,29.611262544159380520069225926,990266200
22.03,2,0.1837160572362910650137520050,0.188643802894996,0.188643802894996,0.183940091645517,0.183940091645517,0.131485980467206,0.1379894565376187034684131888,0.1000382125375822034684131888,0.0379512440000365,4.6151570929174698017744850062,27.799369071986187047259762981,29.608562502793387572843831457,990716000
22.04,2,0.1837123749649568950137520050,0.188639530234227,0.188639530234227,0.1839364048838,0.1839364048838,0.131469266866218,0.1379726040043945149400620678,0.1000213600043580149400620678,0.0379512440000365,4.6144989322446014004752430361,27.796481515559136134785341748,29.605867855299345533943632293,991165700
22.05,2,0.1837086970298743250137520050,0.188635262634803,0.188635262634803,0.183932722463622,0.183932722463622,0.131452573801984,0.1379557721720526266374143573,0.1000045281720161266374143573,0.0379512440000365,4.6138412435526418206517313403,27.79359354275043344443069434,29.603172170494929498451983675,991615300
22.06,2,0.1837050216391484550137520050,0.188630997581285,0.188630997581285,0.183929042590903,0.183929042590903,0.131435880648846,0.1379389403397107732413516865,0.0999876963396742732413516865,0.0379512440000365,4.6131834322908412181581508955,27.790707674817685367905707601,29.600477836595829548361307243,992065000
22.07,2,0.1837013596878573950137520050,0.188626747393297,0.188626747393297,0.183925376174009,0.183925376174009,0.131419227629463,0.1379221491354760471510730345,0.0999709051354395471510730345,0.0379512440000365,4.6125266608545614248917254749,27.787822351670698767606037833,29.597783056632741245358603412,992514800
22.08,2,0.1836977021754555850137520050,0.188622501646901,0.188622501646901,0.183921714201416,0.183921714201416,0.131402574454977,0.1379053579312413908739644624,0.0999541139312048908739644624,0.0379512440000365,4.6118697638201565685775876553,27.784942216180767774152230821,29.595092260418669186410229648,992964500
22.09,2,0.1836940369974926950137520050,0.188618248257274,0.188618248257274,0.183918044553915,0.183918044553915,0.131385922321527,0.1378885675006635096107778941,0.0999373235006270096107778941,0.0379512440000365,4.6112127618370445092420296129,27.782061796183115314866162903,29.59240074780383002538163608,993414200
22.10,2,0.1836903763613251250137520050,0.188614000371107,0.188614000371107,0.183914379453748,0.183914379453748,0.131369297488586,0.1378718045460327814978722215,0.0999205605459962814978722215,0.0379512440000365,4.610556418355353726696229524,27.779182065025901356259307188,29.58970904823710366633718733,993863900
22.11,2,0.1836867291624105050137520050,0.188609766389386,0.188609766389386,0.183910727807219,0.183910727807219,0.131352685330269,0.1378550547435620973536397518,0.0999038107435255973536397518,0.0379512440000365,4.6099003215146677007513655628,27.77630584475780313460718785,29.587019736347040083621642692,994313700
22.12,2,0.1836830852965860050137520050,0.188605536384239,0.188605536384239,0.183907079497846,0.183907079497846,0.131336091424202,0.1378383233210039818052903588,0.0998870793209674818052903588,0.0379512440000365,4.6092446195648646153907071056,27.773431134009570491091514465,29.584331034797167972980944331,994763400
22.13,2,0.1836794449706430450137520050,0.188601310265576,0.188601310265576,0.18390343473267,0.18390343473267,0.131319507258124,0.1378216017681372258252607886,0.0998703577681007258252607886,0.0379512440000365,4.6085890671919372743824095292,27.770561034557421761640489671,29.581645692705686680561161898,995213000
22.14,2,0.1836758080803265750137520050,0.188597087989638,0.188597087989638,0.183899793407311,0.183899793407311,0.131302934569775,0.1378048918201175571980060917,0.0998536478200810571980060917,0.0379512440000365,4.6079337125902788335806738077,27.767686730084418727364235329,29.578956133376474365867246801,995662700
22.15,2,0.1836721756250965450137520050,0.188592870759384,0.188592870759384,0.183896156522447,0.183896156522447,0.131286379134258,0.1377881992905112600500061457,0.0998369552904747600500061457,0.0379512440000365,4.6072787207920954769687693183,27.764818817625660193043281267,29.576271366138936814023234481,996112400
